feature	V1	V2	cluster	mean	NrOfGenes	x	y	z	week	part	nrOfVariableGenes	nrOfClusters
19_8_520_6	9.02780953061122	-4.58704773389401	3	2.04407514450867	1384	19	8	520	6	None	-1	3
19_8_521_6	8.74402239694889	-13.2990423713403	3	2.02923976608187	1539	19	8	521	6	None	-1	3
19_8_675_6	8.20117067712849	-13.4480890307399	3	1.75218658892128	1029	19	8	675	6	None	-1	3
19_9_360_6	-0.688767697757222	-18.708522510233	3	2.03227485684539	1921	19	9	360	6	None	-1	3
19_9_520_6	4.63975919290006	-14.4631258518732	3	2.08832807570978	1585	19	9	520	6	None	-1	3
19_9_521_6	10.12289179077	-12.6024639043808	3	2.0436755530346	1763	19	9	521	6	HopX	-1	3
19_9_675_6	-0.342210654499504	-13.326283397838	2	1.61678004535147	882	19	9	675	6	None	-1	3
20_10_361_6	-8.30264319493864	-3.48328884359564	2	1.78808971384377	1293	20	10	361	6	None	-1	3
20_10_520_6	-21.8046546876925	-3.26191961563491	2	2.44983701557407	2761	20	10	520	6	None	-1	3
20_10_521_6	16.3229798272863	-2.04837001327332	3	2.35976331360947	2535	20	10	521	6	None	-1	3
20_10_675_6	-3.44777765757953	10.4820045712412	1	1.97299771167048	2185	20	10	675	6	None	-1	3
20_11_200_6	7.92424176786027	12.6692424154543	3	1.94269005847953	2565	20	11	200	6	None	-1	3
20_11_361_6	-24.3160442327907	-6.1442215460302	2	3.51351351351351	1702	20	11	361	6	None	-1	3
20_11_520_6	8.42781910196831	-1.29791692809548	3	2.02435977514054	1601	20	11	520	6	None	-1	3
20_11_521_6	3.8981426113459	-17.8312638692055	3	2.01974386339381	1874	20	11	521	6	None	-1	3
20_11_675_6	-0.504627439762463	11.0357575492399	1	1.88313473877177	2182	20	11	675	6	None	-1	3
20_12_200_6	21.5504019704084	5.38968295398517	3	2.42609254498715	3112	20	12	200	6	None	-1	3
20_12_360_6	13.8197465529208	-6.14377098688678	3	2.3132183908046	1740	20	12	360	6	None	-1	3
20_12_361_6	-15.412475668722	-9.34155292723699	2	2.39831401475237	1898	20	12	361	6	None	-1	3
20_12_520_6	5.93934659564206	1.44573270812331	3	2.06601607347876	1742	20	12	520	6	None	-1	3
20_12_521_6	11.0074151031876	-2.55410474652877	3	2.16758933064922	1987	20	12	521	6	None	-1	3
20_12_675_6	-7.36359810093696	3.26795693071979	2	1.65756302521008	952	20	12	675	6	None	-1	3
20_13_200_6	23.6460125156011	-1.86793987755724	3	2.48174745661281	3342	20	13	200	6	None	-1	3
20_13_360_6	6.19278111692992	0.762007936151599	3	2.23909145248057	1673	20	13	360	6	None	-1	3
20_13_361_6	-11.1571342533008	-17.5918866475481	2	2.03508771929825	1539	20	13	361	6	None	-1	3
20_13_520_6	-2.0256578410574	7.39892198459158	3	1.91494149414941	2222	20	13	520	6	None	-1	3
20_13_521_6	-4.90401370971808	4.81231032799463	1	2.13708046906591	2473	20	13	521	6	None	-1	3
20_13_675_6	-11.9470672256247	-4.94738489010069	2	1.86028169014084	1775	20	13	675	6	None	-1	3
20_14_200_6	16.1782684860879	14.3236142286317	3	2.48192771084337	3320	20	14	200	6	HopX	-1	3
20_14_360_6	17.1138258980547	-18.1913049518772	3	2.04623655913979	1860	20	14	360	6	None	-1	3
20_14_675_6	-11.7367254317623	-8.17849233834251	2	1.62879276952873	1549	20	14	675	6	None	-1	3
20_15_200_6	22.2578958395344	1.68751662556461	3	2.59684893419833	3237	20	15	200	6	None	-1	3
20_15_360_6	8.42188164056627	9.28202497418464	3	2.15528455284553	2460	20	15	360	6	None	-1	3
20_15_361_6	-14.9956107814833	-4.82114914746938	2	1.9954128440367	1962	20	15	361	6	None	-1	3
20_15_520_6	-8.77208266645055	-16.8331875393948	2	2.13858961802155	2042	20	15	520	6	None	-1	3
20_15_521_6	-21.7939277442718	-1.47332742801835	2	2.98413793103448	2900	20	15	521	6	None	-1	3
20_15_675_6	-9.90239473359438	-4.91871099619824	2	1.63291925465839	1610	20	15	675	6	None	-1	3
20_16_1_6	15.1979906388059	13.8155617797054	3	2.33459357277883	3174	20	16	1	6	None	-1	3
20_16_200_6	15.5203450061796	14.4449883557496	3	2.45186096585666	3251	20	16	200	6	HopX	-1	3
20_16_361_6	-14.1354063100043	-17.2110322641399	2	1.97225501770956	1694	20	16	361	6	None	-1	3
20_16_520_6	-18.4529383587254	-5.71686526201117	2	2.22895974908521	1913	20	16	520	6	None	-1	3
20_16_521_6	-16.8790303907226	-6.02189262002864	2	2.2858832807571	2536	20	16	521	6	None	-1	3
20_16_675_6	-16.9971635350958	-17.0357196322079	2	1.7172619047619	1008	20	16	675	6	None	-1	3
20_17_1_6	21.82575573018	-6.4152776931496	3	2.10991636798088	2511	20	17	1	6	None	-1	3
20_17_200_6	19.7308242848409	6.14531859892107	3	2.28404539385848	2996	20	17	200	6	None	-1	3
20_17_360_6	-13.8860688938743	-14.4564160297371	2	2.2319587628866	1940	20	17	360	6	None	-1	3
20_17_361_6	-8.2607051368373	18.365744103239	1	2.12985074626866	2680	20	17	361	6	None	-1	3
20_17_521_6	-20.1827157228665	-5.46806838219556	2	2.68602620087336	2290	20	17	521	6	None	-1	3
20_17_675_6	-9.44406422913184	-3.27466139429571	2	1.54198473282443	1179	20	17	675	6	None	-1	3
20_18_1_6	12.9932889360715	11.2377169346504	3	2.01592851592852	2574	20	18	1	6	HopX	-1	3
20_18_360_6	-13.0194777461408	-14.1040539554472	2	2.00372670807453	1610	20	18	360	6	None	-1	3
20_18_520_6	-5.05932958511849	-13.4059108451323	2	1.8351822503962	1262	20	18	520	6	None	-1	3
20_18_521_6	-5.56604553062141	-15.0563495601105	2	2.23798798798799	1332	20	18	521	6	None	-1	3
20_19_115_6	-11.2572532612882	-20.4370775481688	2	1.85072738772929	1581	20	19	115	6	None	-1	3
20_19_360_6	-15.8311564988076	-6.51986699413143	2	1.99115044247788	1921	20	19	360	6	None	-1	3
20_20_115_6	-5.70375360869888	-9.52425709893554	2	1.86537295330503	1649	20	20	115	6	None	-1	3
20_20_360_6	-12.5049762422935	-12.6433232675774	2	2.02164179104478	1340	20	20	360	6	None	-1	3
20_20_361_6	-12.620450335513	6.178470738087	1	1.72670097198399	1749	20	20	361	6	None	-1	3
20_21_115_6	-12.3167537348365	21.0488757291675	1	3.11638016202332	5061	20	21	115	6	HopX	-1	3
20_21_200_6	-11.2969976006985	21.7167028764297	1	2.71251409244645	4435	20	21	200	6	HopX	-1	3
20_21_361_6	-27.1682368390644	-4.50992828238864	2	2.40745052386496	1718	20	21	361	6	None	-1	3
20_22_115_6	-11.6802744595393	22.2834373515155	1	2.04977988486285	2953	20	22	115	6	None	-1	3
20_22_200_6	-12.6049227679925	20.3778659489838	1	2.53574254814033	3791	20	22	200	6	None	-1	3
20_23_115_6	-12.5927371650291	12.6145899291157	1	1.98774820447824	2367	20	23	115	6	None	-1	3
20_23_1_6	-1.97485795987958	15.2281251860596	1	2.11758827448368	3002	20	23	1	6	Isl1	-1	3
20_23_200_6	-12.9285185287872	18.800914137193	1	3.25949620151939	5002	20	23	200	6	HopX	-1	3
20_24_115_6	-12.9544220113474	21.016708835288	1	2.80871975806452	3968	20	24	115	6	None	-1	3
20_24_1_6	-2.73067409346568	14.8260686849302	1	2.18385650224215	3122	20	24	1	6	None	-1	3
20_24_200_6	-11.3240798668017	22.2714456100407	1	2.38029689608637	3705	20	24	200	6	Isl1	-1	3
20_25_115_6	-13.2195159354662	19.0034022945008	1	2.45087014725569	3735	20	25	115	6	None	-1	3
20_25_1_6	-10.6796763208815	19.9446345247632	1	2.34440818748146	3371	20	25	1	6	None	-1	3
20_25_200_6	-13.3365889829761	17.6012591922607	1	2.36408030385241	3686	20	25	200	6	HopX	-1	3
20_26_0_6	-14.6197908660532	12.9292841174047	1	2.18544474393531	1855	20	26	0	6	None	-1	3
20_26_200_6	-13.0648770011736	18.7005849333602	1	2.75879765395894	4092	20	26	200	6	None	-1	3
20_27_0_6	-14.9190982710215	12.5670455027142	1	2.10033259423503	1804	20	27	0	6	HopX	-1	3
20_27_1_6	-11.3221461798571	12.0633130801106	1	1.93185028248588	2832	20	27	1	6	Isl1	-1	3
20_28_1_6	-10.4681551418049	12.1531251965496	1	1.97470433639947	3044	20	28	1	6	None	-1	3
20_29_0_6	-9.69209071444981	5.54801640991671	1	1.60921366163622	1259	20	29	0	6	None	-1	3
20_2_360_6	6.96960932819484	-22.6927739333651	3	1.93870601589103	1762	20	2	360	6	None	-1	3
20_2_521_6	2.45821070919029	-9.31413083463881	3	1.90433815350389	1798	20	2	521	6	None	-1	3
20_2_675_6	2.44776123102309	-9.43409045987018	3	1.93553585817889	1241	20	2	675	6	None	-1	3
20_30_0_6	-10.668882895836	4.8236274982953	2	1.256038647343	414	20	30	0	6	None	-1	3
20_3_360_6	8.48435572596422	-19.0359372673646	3	1.988125	1600	20	3	360	6	None	-1	3
20_3_520_6	0.0877327606394701	-1.46647871024925	3	1.68522815158546	1293	20	3	520	6	None	-1	3
20_3_521_6	4.52606955549637	-6.49185676398523	3	1.88669637173775	1571	20	3	521	6	None	-1	3
20_3_675_6	4.55646902832621	-6.53486263073858	3	1.85532302092812	1099	20	3	675	6	None	-1	3
20_4_360_6	16.690421959191	-14.5576783301978	3	2.14163548904329	1871	20	4	360	6	None	-1	3
20_4_520_6	8.73955102823563	-2.08424554276656	3	2.04747948417351	1706	20	4	520	6	HopX	-1	3
20_4_521_6	13.0289743230662	4.44076917385615	3	2.24705327675625	2121	20	4	521	6	HopX	-1	3
20_4_675_6	5.4364982604108	-0.144402131271037	3	1.92307692307692	1261	20	4	675	6	None	-1	3
20_5_360_6	3.3783547979172	0.845646990395506	3	2.02588235294118	1700	20	5	360	6	None	-1	3
20_5_520_6	4.6569992485977	-18.2025712444805	3	2.07317073170732	1722	20	5	520	6	None	-1	3
20_5_521_6	18.6488774001864	-14.2597701141804	3	2.1542783059637	2314	20	5	521	6	None	-1	3
20_5_675_6	-2.58917176815794	-14.6989424144158	2	1.84431709646609	1047	20	5	675	6	None	-1	3
20_6_360_6	5.400183316519	-19.7117289931806	3	2.00504625735913	1189	20	6	360	6	None	-1	3
20_6_520_6	8.99989519713033	1.94670859375108	3	1.89748427672956	1590	20	6	520	6	None	-1	3
20_6_521_6	3.6549755065554	-10.9457111781901	3	2.19099947671376	1911	20	6	521	6	None	-1	3
20_6_675_6	-21.7513211293499	-10.5014524403944	2	2.06451612903226	713	20	6	675	6	None	-1	3
20_7_360_6	14.3280372190901	-5.05611921530538	3	2.42900919305414	1958	20	7	360	6	HopX	-1	3
20_7_520_6	-21.8490269261944	-3.0931099292369	2	2.42013053933356	2911	20	7	520	6	None	-1	3
20_7_521_6	14.7833037099694	8.98214536699347	3	2.29185351270553	2676	20	7	521	6	None	-1	3
20_7_675_6	-3.8880958402218	-12.7291900829036	2	1.54794520547945	438	20	7	675	6	None	-1	3
20_8_360_6	4.40746606982139	-4.59529769381199	3	2.11918604651163	1720	20	8	360	6	None	-1	3
20_8_520_6	13.088385925171	-17.8922507658902	3	1.97475906379073	2179	20	8	520	6	None	-1	3
20_8_521_6	10.7731372778537	2.66942752838523	3	2.48603351955307	2506	20	8	521	6	None	-1	3
20_8_675_6	3.60504313084306	-18.5244133342318	2	2.03566333808845	1402	20	8	675	6	None	-1	3
20_9_360_6	14.5806039325174	-3.25915157643276	3	2.19269581931764	2081	20	9	360	6	None	-1	3
20_9_520_6	3.11555846007567	-11.2120113006099	3	2.27914481645825	2479	20	9	520	6	HopX	-1	3
20_9_521_6	14.9227015002177	7.83293525038471	3	2.29896539422048	2803	20	9	521	6	None	-1	3
20_9_675_6	2.40172338960645	-0.180363372264041	3	1.77210884353742	1470	20	9	675	6	None	-1	3
21_10_360_6	11.9169468670806	7.28943522290894	3	2.38963442850532	2161	21	10	360	6	HopX	-1	3
21_10_520_6	-1.86706698094295	10.0435477540868	1	2.07940941739824	2506	21	10	520	6	None	-1	3
21_10_521_6	-1.96910945850651	10.00018939398	1	2.32434325744308	2855	21	10	521	6	None	-1	3
21_10_675_6	-4.04517821158051	10.5483080042924	1	1.87183383991895	1974	21	10	675	6	None	-1	3
21_11_360_6	0.402844174435828	-20.9198766066063	3	2.01730665224446	1849	21	11	360	6	None	-1	3
21_11_520_6	-1.84316334676295	10.079449432539	1	2.11779554059739	2377	21	11	520	6	None	-1	3
21_11_521_6	4.89163436096604	3.78242165734039	3	2.24593967517401	2586	21	11	521	6	None	-1	3
21_11_675_6	-11.2702491167838	-6.0984020889186	2	1.56581818181818	1375	21	11	675	6	None	-1	3
21_12_360_6	7.33706127292021	-11.9303716926085	3	1.89346512904997	1821	21	12	360	6	None	-1	3
21_12_361_6	-9.25979636294309	-14.9935475754179	2	2.17132551848512	2218	21	12	361	6	None	-1	3
21_12_520_6	9.85849116736145	5.58808510249194	3	2.08249603384453	1891	21	12	520	6	None	-1	3
21_12_521_6	6.35256956413374	2.17675205980763	3	2.0025817555938	2324	21	12	521	6	None	-1	3
21_12_675_6	-12.488350295627	-3.06771197993745	2	1.70707692307692	1625	21	12	675	6	None	-1	3
21_13_360_6	4.88161109232842	1.49397285739761	3	1.92360163710778	1466	21	13	360	6	None	-1	3
21_13_361_6	-19.9897861956881	-6.21150583653105	2	2.20822784810127	1580	21	13	361	6	None	-1	3
21_13_520_6	-4.01555719239636	7.83437356018611	1	1.78810408921933	2152	21	13	520	6	None	-1	3
21_13_521_6	-4.60727851430177	18.0650954942448	1	1.90511204481793	2856	21	13	521	6	None	-1	3
21_13_675_6	-10.5059395597774	-4.05321831775292	2	1.62178919397697	1129	21	13	675	6	None	-1	3
21_14_360_6	4.46040168126115	-16.8128066640125	3	1.82207357859532	1495	21	14	360	6	HopX	-1	3
21_14_361_6	-6.98430671947714	-15.585235289711	2	2.01180857675575	1609	21	14	361	6	None	-1	3
21_14_675_6	-8.24597264552365	-20.9181198961755	2	1.9786301369863	1825	21	14	675	6	None	-1	3
21_15_360_6	-2.9318573953623	8.86424674051613	1	1.99108399812295	2131	21	15	360	6	None	-1	3
21_15_520_6	-4.26354092401727	-15.0511048643561	2	1.78975131876413	1327	21	15	520	6	None	-1	3
21_15_521_6	-16.4475578032774	-4.49463690500308	2	2.17231638418079	2124	21	15	521	6	None	-1	3
21_15_675_6	-10.6123991353622	-3.06282037452791	2	1.745122718691	1589	21	15	675	6	None	-1	3
21_16_520_6	-14.0987036955878	-13.4369771567061	2	1.84778420038536	1557	21	16	520	6	None	-1	3
21_16_521_6	-16.3619487641627	-5.60312479439544	2	2.05461102524472	1941	21	16	521	6	None	-1	3
21_17_360_6	-3.71277199235548	-16.4700147900889	2	1.9629854368932	1648	21	17	360	6	None	-1	3
21_17_361_6	-7.14243717255691	12.2041445770815	1	1.8657432072456	1877	21	17	361	6	None	-1	3
21_17_520_6	-14.6246483424272	-8.05792906600074	2	1.92939666238768	1558	21	17	520	6	None	-1	3
21_17_521_6	-16.3506416640996	-6.59797683219561	2	2.03554376657825	1885	21	17	521	6	None	-1	3
21_17_675_6	-12.4355053814808	1.62410873638471	2	1.68414481897628	1602	21	17	675	6	None	-1	3
21_18_115_6	-23.8841953984047	-4.94770233035988	2	3.3378035520116	2759	21	18	115	6	None	-1	3
21_18_360_6	-17.269732916094	-9.60182936014504	2	2.22333333333333	1500	21	18	360	6	None	-1	3
21_18_520_6	-13.6725248994	-10.559913827246	2	2.01885945217782	2227	21	18	520	6	None	-1	3
21_18_521_6	-6.36770802587977	-14.3057150535741	2	1.83809523809524	1470	21	18	521	6	None	-1	3
21_19_115_6	-18.6648287672991	-3.14335357756435	2	2.30682881197381	3207	21	19	115	6	None	-1	3
21_19_360_6	-4.90487447472028	-12.0958822733208	2	2.13476394849785	1165	21	19	360	6	None	-1	3
21_20_115_6	-10.9077996732802	-16.0881114617194	2	2.24017053529133	2111	21	20	115	6	None	-1	3
21_20_360_6	-8.66800564820074	-8.3800157168089	2	1.77231695085256	997	21	20	360	6	None	-1	3
21_20_361_6	-9.79258637517973	4.23763621051368	2	1.5678704856787	803	21	20	361	6	None	-1	3
21_21_115_6	-10.6449436930125	22.1359652107687	1	3.03239083750895	5588	21	21	115	6	Isl1	-1	3
21_21_200_6	-10.983080346164	21.9302602069405	1	2.72632423756019	4984	21	21	200	6	None	-1	3
21_21_360_6	-9.24168730389622	-1.89686341368667	2	1.83090185676393	1508	21	21	360	6	None	-1	3
21_21_361_6	-25.4916973556756	-2.39770899440422	2	2.94594594594595	2664	21	21	361	6	None	-1	3
21_22_200_6	-11.6005562531049	21.0549669633261	1	2.80953588638093	3943	21	22	200	6	HopX	-1	3
21_23_115_6	-6.25722570809508	19.4159913004383	1	2.14350064350064	3108	21	23	115	6	None	-1	3
21_24_115_6	-13.8505414172848	14.8594526716421	1	2.2997438087105	3513	21	24	115	6	Isl1	-1	3
21_24_1_6	-10.4800404969217	19.988327943347	1	2.14358279715544	2953	21	24	1	6	None	-1	3
21_24_200_6	-11.931117159745	22.0614192403334	1	2.30604677695379	3506	21	24	200	6	None	-1	3
21_25_115_6	-25.4176873197356	-1.75331554164505	2	2.96841419732986	3071	21	25	115	6	None	-1	3
21_25_1_6	-26.3425702989678	-1.637701217094	2	3.53256428743091	4161	21	25	1	6	None	-1	3
21_25_200_6	-13.7600889423574	14.9252990983864	1	2.60548074651547	4233	21	25	200	6	None	-1	3
21_26_1_6	-12.831797358367	11.2466287886552	1	1.85896309314587	2276	21	26	1	6	None	-1	3
21_26_200_6	-11.8142936625865	21.5752989263693	1	2.57741617357002	4056	21	26	200	6	None	-1	3
21_27_1_6	-10.3398933684368	5.83769134607737	1	1.39217652958877	997	21	27	1	6	None	-1	3
21_27_200_6	-14.1029237723132	15.5975893494506	1	2.62789203084833	3112	21	27	200	6	None	-1	3
21_28_1_6	-11.5748328804048	6.58725844471062	1	1.58406561218512	1707	21	28	1	6	None	-1	3
21_2_360_6	7.49983928115426	-19.0474458694584	3	1.83605341246291	1348	21	2	360	6	None	-1	3
21_2_521_6	9.55699229388052	-21.4418104380678	3	2.00973499188751	1849	21	2	521	6	None	-1	3
21_2_675_6	9.55252106607007	-21.4477190552847	3	1.98775216138329	1388	21	2	675	6	HopX	-1	3
21_30_0_6	-8.66783466034556	9.37438150926022	1	1.67367119901112	1618	21	30	0	6	None	-1	3
21_3_360_6	4.46832562582354	0.0487773776619422	3	1.98855180309101	1747	21	3	360	6	None	-1	3
21_3_520_6	10.7064538557025	-7.30813875830179	3	1.88803512623491	1822	21	3	520	6	None	-1	3
21_3_521_6	15.6150112358128	9.95671022524743	3	2.39588884659307	2627	21	3	521	6	None	-1	3
21_3_675_6	5.53602279947035	-3.34167127819768	3	1.93644996347699	1369	21	3	675	6	None	-1	3
21_4_360_6	3.98442583766473	-7.72295646633561	3	1.8747591522158	1557	21	4	360	6	None	-1	3
21_4_520_6	7.95673187304248	-2.85221372936437	3	1.89620403321471	1686	21	4	520	6	None	-1	3
21_4_521_6	15.5794511754303	-13.1245307358986	3	2.11222339304531	1898	21	4	521	6	None	-1	3
21_4_675_6	0.0310306568164292	-5.49486128190343	3	1.67581047381546	802	21	4	675	6	None	-1	3
21_5_360_6	7.07350099760275	-21.0630009087628	3	2.05084745762712	1475	21	5	360	6	None	-1	3
21_5_520_6	9.51728793825566	1.30453253144661	3	2.08163265306122	1568	21	5	520	6	None	-1	3
21_5_521_6	18.8932074215971	-12.1458808205132	3	2.19734589041096	2336	21	5	521	6	None	-1	3
21_5_675_6	-1.50180707404502	-14.0065800282593	2	1.89463220675944	1006	21	5	675	6	None	-1	3
21_6_360_6	11.6509475303114	-14.9718768416518	3	2.19953996549741	1739	21	6	360	6	HopX	-1	3
21_6_520_6	10.6232725136772	4.37134020896695	3	2.05750273822563	1826	21	6	520	6	HopX	-1	3
21_6_521_6	19.7653916193235	-12.3069647793278	3	2.25442176870748	2205	21	6	521	6	None	-1	3
21_6_675_6	-24.4625082115306	-9.32272980120672	2	3.18822674418605	1376	21	6	675	6	None	-1	3
21_7_360_6	7.07452143227956	-20.0622379850865	3	2.11008039579468	1617	21	7	360	6	None	-1	3
21_7_520_6	9.68286334496836	2.54740060586786	3	2.16370490037695	1857	21	7	520	6	None	-1	3
21_7_521_6	14.7152615706041	-3.10428814374722	3	2.37328632980807	2553	21	7	521	6	None	-1	3
21_7_675_6	-25.5455021592865	-6.81130612516883	2	2.96206156048676	1397	21	7	675	6	None	-1	3
21_8_360_6	12.5384720666665	-13.8451877581982	3	2.18686224489796	1568	21	8	360	6	None	-1	3
21_8_520_6	7.27237805828779	-16.9343606913712	3	2.25099828864803	1753	21	8	520	6	None	-1	3
21_8_521_6	9.03194979230374	5.1910867620207	3	2.02564102564103	2301	21	8	521	6	None	-1	3
21_8_675_6	-23.3762827078659	-9.72534259913111	2	2.23333333333333	750	21	8	675	6	None	-1	3
21_9_360_6	4.18425854812726	-2.02004800545331	3	1.84782608695652	1288	21	9	360	6	None	-1	3
21_9_520_6	-1.45183610961233	-0.251837772115863	3	1.77520071364853	1121	21	9	520	6	None	-1	3
21_9_521_6	5.02437788769419	4.73830926114164	3	2.21124889282551	2258	21	9	521	6	None	-1	3
21_9_675_6	-24.1179531413415	-8.89587180246606	2	2.68703007518797	1064	21	9	675	6	None	-1	3
22_10_360_6	11.8281430754046	6.530868241833	3	2.42179836512262	1835	22	10	360	6	None	-1	3
22_10_520_6	11.2498157271185	6.56111401035084	3	2.27805077805078	2442	22	10	520	6	None	-1	3
22_10_521_6	-3.91186339717878	17.3780325729661	1	2.36810776942356	3192	22	10	521	6	None	-1	3
22_10_675_6	-11.6595021615058	-4.19755279313215	2	2.0311320754717	2120	22	10	675	6	None	-1	3
22_11_360_6	11.3474536311449	-13.4342543968281	3	2.22889043963712	1433	22	11	360	6	None	-1	3
22_11_520_6	-3.8833707827141	9.03265562013057	1	1.86124401913876	1881	22	11	520	6	None	-1	3
22_11_521_6	4.10822437408763	2.79011655342692	3	1.90918419702412	1949	22	11	521	6	None	-1	3
22_11_675_6	-10.6407871467287	-11.1121708227436	2	1.65606748864374	1541	22	11	675	6	None	-1	3
22_12_360_6	6.60895879579292	-10.7877255336721	3	2.11004209260373	1663	22	12	360	6	None	-1	3
22_12_520_6	4.58302278059932	2.32236588435046	3	1.96750700280112	1785	22	12	520	6	None	-1	3
22_12_521_6	10.7610057124576	-9.61384034893461	3	2.2032634032634	2145	22	12	521	6	None	-1	3
22_12_675_6	-21.0583907173067	-12.096982602388	2	2.1576980568012	1338	22	12	675	6	None	-1	3
22_13_360_6	2.17206357186036	-17.182508545425	3	2.06246634356489	1857	22	13	360	6	None	-1	3
22_13_361_6	-9.57500881313276	-15.3615690978785	2	2.13194739075095	2357	22	13	361	6	None	-1	3
22_13_520_6	-4.71235412060018	14.0743880292873	1	1.84457004440856	2477	22	13	520	6	None	-1	3
22_13_521_6	-4.5584658888466	17.5794521040401	1	1.99455337690632	2754	22	13	521	6	Isl1	-1	3
22_13_675_6	-21.5655680970352	-8.46551328343806	2	2.35007385524372	1354	22	13	675	6	None	-1	3
22_14_360_6	1.91243400468518	5.09462734365952	3	1.89082969432314	1832	22	14	360	6	HopX	-1	3
22_14_361_6	-14.5577270412858	-7.18117890333718	2	2.17486338797814	2196	22	14	361	6	None	-1	3
22_14_520_6	-5.66351144642373	14.12441783821	1	2	1994	22	14	520	6	None	-1	3
22_14_675_6	-7.20227739081466	-3.67547200955762	2	1.73048600883652	1358	22	14	675	6	None	-1	3
22_15_360_6	-0.264384791479139	10.8798891839229	1	1.79018245004344	2302	22	15	360	6	None	-1	3
22_15_521_6	-4.71350251098051	-16.3993598515092	2	2.01717126073204	2213	22	15	521	6	None	-1	3
22_15_675_6	-6.85166686140447	13.3828714688577	1	1.5934769947583	1717	22	15	675	6	None	-1	3
22_16_360_6	-2.06436614229235	13.1636223855171	1	1.97217314487633	2264	22	16	360	6	None	-1	3
22_16_521_6	-7.98824880417479	2.6186864837157	2	1.78223112892452	1497	22	16	521	6	None	-1	3
22_16_675_6	-8.27951629242394	3.31126168570314	2	1.61212886923563	1583	22	16	675	6	None	-1	3
22_17_360_6	-14.2081870031878	12.2855773884957	1	1.86547556489753	1903	22	17	360	6	None	-1	3
22_17_520_6	-10.9511273916389	-15.0961288244413	2	1.91657696447793	1858	22	17	520	6	None	-1	3
22_17_521_6	-10.7630946102648	-14.3783124611292	2	1.80298913043478	1472	22	17	521	6	None	-1	3
22_18_115_6	-20.5439546574618	-1.764112634118	2	2.44728319539403	2779	22	18	115	6	None	-1	3
22_18_360_6	-10.2478197885405	19.8531537488051	1	1.99606643356643	2288	22	18	360	6	None	-1	3
22_18_361_6	-6.45467719697677	18.7566940162231	1	2.02893309222423	2765	22	18	361	6	None	-1	3
22_18_520_6	-9.09567468929847	-15.5979738578396	2	2.05682229460731	2763	22	18	520	6	None	-1	3
22_18_521_6	-15.3963890288554	-5.67016934995883	2	2.03111111111111	2025	22	18	521	6	None	-1	3
22_19_360_6	-13.8109102689729	11.919939300682	1	1.94115369725126	2583	22	19	360	6	Isl1	-1	3
22_19_361_6	-7.20871614260565	14.0749271894021	1	1.69597408607126	2161	22	19	361	6	None	-1	3
22_20_200_6	-21.1019284371538	0.495438004564099	2	2.42487046632124	2895	22	20	200	6	None	-1	3
22_20_361_6	-6.53374611155149	17.5534318180054	1	2.1247492980345	2493	22	20	361	6	None	-1	3
22_23_115_6	-6.19951075060846	19.4374574737381	1	2.22112109012078	3229	22	23	115	6	None	-1	3
22_23_200_6	-12.1508162069469	20.7793704491113	1	2.76552065298046	4043	22	23	200	6	None	-1	3
22_24_115_6	-6.58132341150836	19.3842317269646	1	2.09787098824277	3147	22	24	115	6	None	-1	3
22_24_1_6	-8.2035739820356	13.70899749171	1	1.96024056130972	2993	22	24	1	6	Isl1	-1	3
22_24_200_6	-12.485341487662	19.5887135106961	1	2.48429920857799	3917	22	24	200	6	None	-1	3
22_25_1_6	-13.9703718453873	13.7986487381041	1	2.54550530429927	3582	22	25	1	6	None	-1	3
22_25_200_6	-10.7223354057347	21.9708251893136	1	2.62187147688839	4435	22	25	200	6	None	-1	3
22_26_1_6	-10.3488359048198	21.6165950433442	1	2.46133567662566	4552	22	26	1	6	Isl1	-1	3
22_26_200_6	-12.3057112805316	20.0822879484618	1	2.68763652249891	4578	22	26	200	6	None	-1	3
22_27_0_6	-5.72713496094231	-13.3886034040588	2	1.55902777777778	864	22	27	0	6	None	-1	3
22_27_200_6	-25.5487170720299	-2.27484097608055	2	2.69535073409462	2452	22	27	200	6	None	-1	3
22_28_0_6	-9.77395708302683	-7.9778100915181	2	1.85535378835316	1597	22	28	0	6	None	-1	3
22_28_1_6	-12.457891437402	7.46394657993542	1	1.83432835820896	2010	22	28	1	6	HopX	-1	3
22_2_360_6	5.27880674135289	-12.214381323082	3	1.96610169491525	1652	22	2	360	6	None	-1	3
22_2_520_6	-4.90336508134827	17.9411538546827	1	1.98765432098765	3078	22	2	520	6	None	-1	3
22_2_521_6	-1.08859715244668	8.2789242874657	1	1.96071700991609	2622	22	2	521	6	None	-1	3
22_2_675_6	1.85740780114202	-18.5602848722782	2	1.93827160493827	1053	22	2	675	6	None	-1	3
22_30_0_6	-9.91174989179404	8.83722838151915	1	1.86640851887706	2066	22	30	0	6	None	-1	3
22_3_360_6	3.66688701127419	-1.1000457209785	3	1.77336276674025	1359	22	3	360	6	None	-1	3
22_3_520_6	4.3772557972645	-23.6701899257843	3	1.80486202365309	1522	22	3	520	6	HopX	-1	3
22_3_521_6	1.70394675087623	-8.67598117939432	3	1.97270742358079	1832	22	3	521	6	None	-1	3
22_3_675_6	1.37141057761998	-8.29299252868255	3	1.59058823529412	850	22	3	675	6	None	-1	3
